your, thy
sugar-plums, kissing-comfits
entertain, kitchen
toy, knack
snap, knap
herb, knot-grass
thick-headed, knot-pated
elaborate, laboursome
prostitute, laced mutton
empty, lade
fragment, lag
last, lag end
disease, web and the pin
lawn, laund
corrupt, land-damn
shrink, lank
wrap, pall
ornament, lard
catch, latch
mixed, latten
camp, leaguer
set, tarre
complexion, leer
lose, leese
manor, leet
bow, leg
lightness, legerity
resident, leiger
sparing, lenten
licentious, liberal
licentiousness, liberty
thief, prig
limb, limb-meal
alembic, limbeck
edge, limbo
appoint, limit
draw, trick
probablygrove, line-grove
torch, link
gibberish, linsey-woolsey
stick, linstock
moisten, liquor
wish, list
yielding, lither
doubtful, pioned
lubber, lob
pole-star, lode-star
on, sledded
luff, loop
discharge, vent
any, lots to blanks
day, love-day
worthless, lozel
pike, luce
freaks, lunes
skulkwin, lurch
luxuriant, lush
lustigh, lustig
lascivious, luxurious
lus, luxury
bloodhound, lym
stained, maculate
magpie, maggot-pie
character, maid marian
wrapped, mailed up
hand, main
mainsail, main-course
mateless, makeless
mischief, mallecho
kitchen, malkin
mary, mall
tippler, malt-worm
doll., mammet
tear, mouse
tamehawkdirect, man
taming, manage
mandrake, mandragora
masculine, mankind
murderer, woman-queller
cultivate, manure
study, mappery
sort, welsh hook
nightmare, mare
11th, martlemas
flowers, mary-buds
confound, mate
pre, with
basket, maund
spiritless, meacock
appearshave, mean
handicraftsman, mechanical
physician, medicine
household, meiny
meddle, mell
entire, mere
only, mered
entirely, merely
supernatural, metaphysical
pen, mew
truant, micher
sneaking, peaking
world, middle-earth
moist, milch
coin, mill-sixpence
undermine, mine
minepoisonous, mineral
smail, minikin
anything, o
lime-servers, minute-jacks
sinkinmud, mire
miserable, miser
mistaken, misprised
contempt, misprision
messenger, missive
throwmist, mist
jack, mistress
trite, modern
mole, moldwarp
momentary, momentany
fencing, montant
ancestral, monumental
fit, mood
unconstant, moonish
grimace, mow
making, mopping
morris-dancer, morisco
moorish, morris-pike
deadly, mortal
puppet-showpuppet, motion
mover, motive
particoloured, motley
men, mould
lifted, mountant
measure, moy
insipid, mulled
cannon, murdlring-piece
wall, mure
infected, murrion
gap, muset
scramble, scamble
mutiny, mutine
mutineers, mutines
adnegative, nayward
bywordwatchword, nayword
fist, neif
nearer, near
knock-kneed, near-legged
bill, neb
absolutely, neelly
needle, neeld
sneeze, neeze
grandchild, nephew
scrupulous, nice
nicety, niceness
st., nicholas' clerks
granddaughter, niece
night-heron, night-crow
dark, nighted
revelry, wassail
will, shall
explained, nine-fold
give, stamp
simpleton, woodcock
musiccompany, noise
shooting, nook-shotten
nourish, nousle
catchpole, nuthook
nosing, nuzzling
connected, obsequious
adbecomesfuneral, obsequiously
obstacle, obstruct
hidden, occulted
perhapsinterval, odd-even
amorous, &#140;illiades
overtook, o'er-rauoht
takecap, off-cap
servants, offices
wold, old
active, operant
before, tofore
proud, orgulous
leaving, ort
owed, ought
goblins, ouphs
surpass, out-peer
disclosure, overture
ornaments, owches
own, owe
plot, practise
plotting, packing
toadfamiliar, paddock
laborious, painful
some, scamel
words, palabras
pale, paled
robe, palliament
victorious, palmy
servant, pantler
apparitor, paritor
spermaceti, parmaceti
quit, part
havingcoat, parti-coated
die, pass
proceedings, passes
corruption, passy-measure
roguery, ropery
walk, path
rip, unseam
stately, pavin
accuse, tax
betrays, peaches
cataract, pearl
kingdoms, pearl
pet, peat
preserved, peculiar
schoolmaster, pedant
appear, peer
silly, peevish
wedge, peg
pins, pegs
chafe, pelt
impending, pendulous
affectingheart, penetrative
gentleman, pensioner
pensive, pensived
shed, pent-house
soldier, perdu
amulets, periapts
dressed, perked up
excessively, perniciously
reflect, perpend
adthroughperspective, perspectively
glasses, perspectives
engine, petar
capricious, pettish
feet, pettitoes
seat, siege
fantastical, phantasime
vision, phantasma
indescribable, termless
heal, physic
wholesome, physical
membrane, pia mater
refined, picked
officious, pick-thanks
excellent, qualified
scabbard, pilcher
plunder, pill
bulls-eye, white
narrow, pin-butock
pound, pun
wine, pipe-wine
height, pitch
opening, placket
mere, plain
plain, round
folds, plaits
made, planched
sole, plant
plants, plantage
pool, plash
piece, spot
plans, platforms
willingly, plausibly
pleasing, plausive
folded, pleached
prank, plume up
superabundance, plurisy
signal, point
affectedly, point-devise
tags, points
irons, poking-sticks
native, polack
standard, pole
ball, pomander
pomegranate, pomegarnet
salted, poor-john
parrot, popinjay
bigoted, popish
vulgarity, popularity
poring, poring
porcupine, porpentine
port-hole, portage
motto, posy
regarded, potato
thrust, stuck
turmoil, pother
tankard, pottle-pot
poulterer, poulter
perfume, pouncet-box
salt, powder
salting, powdering-tub
treachery, practice
performers, practisants
appraise, praise
rough, water-rugs
instructive, preceptial
ready, yare
presence, presence
fabulous, prester john
assert, pretend
buck, sorel
music, prick-song
spring, prime
early, primy
corner, principals
pert, princox
value, quantity
satisfactory, probal
proof, probation
traitor, proditor
inter, proface
tedious, prolixious
incline, propend
handsome, proper
stage, properties
maketool, property
means, propugnation
thievish, puggish
unskilful, puisny
puke, poke-stocking
back-handed, punto reverso
curl, purl
purple, purples long
instigate, put on
refer, put over
kite, puttock
foul, puzzel
pyramids, pyramides
pyramid, pyramis
moderate, qualify
profession, quality
quarrelsome, quarrelous
heap, quarry
pimple, whelk
squat, quatch-buttogk
[, queasy
murder, quell
handmill, quern
aspirant, questant
conversation, question
inviting, questionable
searcher, questrist
inquiries, quests
alive, quick
subtlety, quiddity
settlement, quietus
cavilling, quillets
sudden, quirk
nimble, quiver
cap, quoif
throw, up-cast
note, quote
sucking, rabbit-sucker
root, raze
move, yaw
beggarly, rag
raving, raging-wood
bury, rake-up
wanton, riggish
dispose, range
transport, rap
violent, rapture
deer, rascal
unravel, ravel
ravening, ravin
erasure, razure
t, rebate
hunting, recheat
frequent, recourse
getwindward, recover the wind
advice, rede
window, red-lattice
piping, reed
filthy, reeky
refute, refell
rule., regiment
sky, region
adjourn, rejourn
medicinal, simple
remind, remember
pity, ruth
compassionate, remorseful
account, render
deny, renege
rend, rent
denying, renying
food, repasture
bats, rere-mice
echo, replication
prize, reprisal
perdition, reprobation
oppose, repugn
opposition, repugnancy
dissolvefree, resolve
consideration, respect
careful, respective
particularly, respectively
arrest, 'rest
lazy, resty
rebel, revolt
ribald, ribaudred
circle, rondure
shore, rivage
prostituteroadsteadjourney, road
vagrant, roguing
bold, roisting
scurvy, roynish
cower, rook
misty, rooky
knavish, rope-tricks
plainly, roundly
circuit[com, roundure
free, rouse
crowd, rout
redbreast, ruddock
rude, rudesby
rough-headed, rug-headed
ruin, ruinate
behaviour, rule
pampered, rump-fed
vagabond, runagate
hasty, running banquet
push, rush aside
rich, sables
bell, sacring bell
sure, safe
droop, sag
centaur, sagittary
stirring, sallets
for, waters
ofsandy, sanded
scabby, scald
scatter, scale
scarcely, scant
covering, sconce
contribution, scot
cut, scotch
fencers, scrimers
written, scrip
perhapsscrawl, scrowl
mangy, scrowles
stunted, scrubbed
lard, seam
brand, wipe
withered, seared
carelessness, security
sowing, seednness
close, thick
seldom, seld
rarely, seld-shown
husks, shales
potsherds, shards
malicious, shkep-bitbr
head-dress, ship-tire
shaggy, shoughs
shilling, shovel-board
mischievous, shrewd
shekels, sicles
mark, sign
pretended, simular
portions, sizes
little, skillet
ignorant, skill-less
it, skills not
thoughtless, skipper
scour, skirr
slimy, slab
makeslave, slave
wristband, sleeve-hand
useless, unnecessary
counterfeit, slip
branch, sliver
slur, slubber
smattering, smack
shrill-voiced, small
smack, smatch
prattle, smatter
check, sneap
smouldering, snuff
quarrelstake, snuffs
luxuriously, soiled
fool., sot
swoop, stoop
pull, touse
boyish, span-counter
bar, sperr
spider, spinner
lameness, springhalt
most, square
look, squint
you're, thou art
yes, forsooth
square, squire
decoydupe, stale
footed, standing-bowl
rapier, tuck
kestrel, staniel
chair, state
statesman, statist
marked, tokened
stop, stint
smithy, stithy
stockado, stoccata
dried, stock-fish
stubborn, stomach
crossbow, stone-bow
drinking, stoup
fodder, stover
declinego, strain courtesy
dissolute, strikers
trousers, strossers
destroy, 'stroy
complete, stuffed
essence, stuff-o'-the-conscience
yield, subscribe
obedience, subscription
succession, success
tempt, suggest
temptation, suggestion
inspection, supervize
extra, sur-addition
accomplishmentcease, surcease
drawbreath, suspire
havingloose, swag-bellied
swathe, swarth
wrapping, swath
roisterer, swinge-buckler
wholesale, swoostake
gladiator, sworder
swoon, swound
equality, sympathy
memorandum, table-book
tabletsgame, tables
drums, tabourines
rope, tackled stair
tag-rag, tag
discredit, taint
captivate, take
conquer, tars in
suffer, take thought
obtain, take up
lockets, talents
vessel, tallow ketch
tartcarus, tartar
tercel-gentle, tassel-gentle
actsewer, taste
satire, taxation
care, tender
a., tent
male, tercel
ft, termagant
sixpence, testril
fretful, testy
peevish, tetchy
cutaneous, tetter
con, that
theory, theoric
according, thereafter
dim-eyed, thick-eyed
shaft-horse, thill-horse
melancholy, thought
boastful, thrasonical
rammer, three-man beetle
richest, three-pile
havingthick, three-piled
dirge, threne
three, trey
thread, thrip
tufted, turum
hat, thrummed hat
thunderbolt, thunder-stone
perverse, thwart
strong, tickle-brain
untimely, timeless
recently, timely-parted
grand, tinct
dressing-room, tiring-house
cough, tisick
drag, toaze
yieldtod, tod
gowned, toged
denounce, tongue
supreme, topless
torch-bearer, torcher
twisted, tortive
wound, touch
towards, toward
tractable, toward
soar, tower
trace, tract
bait, train
catchinnet, trammel up
lop, trash
makethrust, traverse
crossed, traversed
traitors, treachers
living, treble-dated
good, unthrift
sportive, tricksy
triangle, trigon
trickle, trill
triple-time, triplex
sorrowful, tristful
trump, triumph
sing, troll
figuratively, tropically
betrothal, troth-plight
low, truckle-bed
honest, true-penny
long-tailed, trundle-tail
bringshipclose, try
flourish, tucket
clump, tuft
accent, tune
apparentlyname, turlygood
become, turn turk
cased, twiggen
string, twist
darkened, umber'd
shadow, umbrage
reveal, unbolt
skill-less, unbookish
uncouple, uncape
cure, undeaf
face, underbear
wear, undercrest
underdrawer, underskinker
surety, undertaker
inexpressible, unexpressive
deprive, unfair
star, unfolding star
drivefox, unkennel
untamed, unmanned
implacable, unmitigable
invaluable, unprizeable
unvalued, unprized
not, while-ere
unfuruish, unprovide
unthinking, unrespective
sewer, unrespective sink
driven, unroosted
inconsidered, unscanned
unresting, unsistdto
incontinent, unstanched
divest, unstate
remove, untent
unloosingpoints, untrussing
reckless, unweighed
ease, unyoke
deciding, upshoot
boisterous, utis
hedgehoggoblin, urchin
interest, usance
usage, use
pass, utter
fade, vade
setting, vail
fringe, valance
list, valued file
caverns, vaultages
van, vaunt
forerunners, vaunt-couriers
vanguard, vaward
those, velvet-guards
bout, venew
apertures, ventages
cavity, ventricle
plain-spoken, verbal
interword, via
stake, vie
revengeful, wreakful
musty, vinewedst
playing, virginalling
fits, visitings
proclaim, voice
ante-room, voiding-lobby
beckon, waft
passage, waftage
waving, wafture
remuneraterisk, wage
late, wake
fierce-eyed, wall-eyed
lizard, wall-newt
turned, wanned
truncheon, warder
summonbattle, warn
gamekeeper, warrener
watch, watch
sentry, watch-case
lustre, water
weak, water-colours
secondary, water-galls
watery, waterish
painting, water-work
eagerly, watery
fluctuate, wave
statesmen, weals-men
prosperity, wealth
storm, weather
readyweep, weeping-ripe
.know, weet
fatal, weird
blue, welkin
graceful, well-graced
well-skilled, well-seen
popular, well-wished
windpipe, wezand
tlie, wheel
covered, whelked
exclamation, when
whereas, where
whether, whe'r
pale-faced, whey-face
until, while
while, whiles
the, ye
hurry, whir
worth, whistlb
dismisshawk, whistle her off
cowardly., white-liverbd
bleaching-time, whiting-time
bleacher, whitster
clasp-knife, whittle
hubbub, whoobub
distracted, wide
weald, wild
wideness, wilderness
distraction, wildness
wilfully, wilful-blame
havewind, wind
swellings, windgalls
circuit, windlass
lattice-like, window-bars
sleepbe, wink
wise, winnowed
protectplant, winter-ground
witch, wise-woman
badge, wisp of straw
wistfully, wistly
wizard, witch
excep, without
contented, wittol
wittol-like, wittolly
woman, woman
accompanied, woman'd
henpecked, woman-tired
enclose, womb
hollow, womby
awkward, wooden thing
lie, woollen
representfool, word
fortification, work
common., worry-day
serpentcreature, worm
adversary, wrangler
vengeancerevenge, wreak
writhe, wring
torture, wringing
swerve, wry
readily, yarely
years, year
grieve, yearn
emblem, yellow
jealousy, yellowness
jaundice, yellows
lash, yerk
foaming, yesty
recent, young
stripling, younker
